timestamp,component,level,message,context
2025-10-06T23:18:43,COMMANDER,INFO,Start tury komendanta,"{""commander_id"": 2, ""nation"": ""Polska"", ""tokens"": 2, ""budget"": 22}"
2025-10-06T23:18:43,COMMANDER,DEBUG,Plan przydziału PE,"{""commander_id"": 2, ""token_count"": 2, ""share_per_token"": 11, ""budget"": 22}"
2025-10-06T23:18:43,COMMANDER,DEBUG,Przydział żetonowi,"{""commander_id"": 2, ""token_id"": ""Z_Pluton__2_PL_Z_Pluton"", ""allocated_pe"": 11, ""token_position_q"": 17, ""token_position_r"": -5}"
2025-10-06T23:18:43,COMMANDER,INFO,Podsumowanie żetonu,"{""commander_id"": 2, ""token_id"": ""Z_Pluton__2_PL_Z_Pluton"", ""allocated_pe"": 11, ""spent_pe"": 4, ""refunded_pe"": 7}"
2025-10-06T23:18:43,COMMANDER,DEBUG,Przydział żetonowi,"{""commander_id"": 2, ""token_id"": ""K_Pluton__2_PL_K_Pluton"", ""allocated_pe"": 11, ""token_position_q"": 20, ""token_position_r"": 3}"
2025-10-06T23:18:43,COMMANDER,INFO,Podsumowanie żetonu,"{""commander_id"": 2, ""token_id"": ""K_Pluton__2_PL_K_Pluton"", ""allocated_pe"": 11, ""spent_pe"": 4, ""refunded_pe"": 7}"
2025-10-06T23:18:43,COMMANDER,INFO,Zbiorcze podsumowanie tury,"{""commander_id"": 2, ""allocated_total"": 22, ""spent_total"": 8, ""refunded_total"": 14, ""unassigned_total"": 0}"
2025-10-06T23:18:43,COMMANDER,INFO,Koniec tury komendanta,"{""commander_id"": 2, ""spent"": 8, ""remaining"": 14, ""token_share"": 11, ""tokens"": 2}"
2025-10-06T23:18:44,COMMANDER,INFO,Start tury komendanta,"{""commander_id"": 3, ""nation"": ""Polska"", ""tokens"": 2, ""budget"": 18}"
2025-10-06T23:18:44,COMMANDER,DEBUG,Plan przydziału PE,"{""commander_id"": 3, ""token_count"": 2, ""share_per_token"": 9, ""budget"": 18}"
2025-10-06T23:18:44,COMMANDER,DEBUG,Przydział żetonowi,"{""commander_id"": 3, ""token_id"": ""Z_Pluton__3_PL_Z_Pluton"", ""allocated_pe"": 9, ""token_position_q"": 22, ""token_position_r"": 12}"
2025-10-06T23:18:44,COMMANDER,INFO,Podsumowanie żetonu,"{""commander_id"": 3, ""token_id"": ""Z_Pluton__3_PL_Z_Pluton"", ""allocated_pe"": 9, ""spent_pe"": 4, ""refunded_pe"": 5}"
2025-10-06T23:18:44,COMMANDER,DEBUG,Przydział żetonowi,"{""commander_id"": 3, ""token_id"": ""K_Pluton__3_PL_K_Pluton"", ""allocated_pe"": 9, ""token_position_q"": 29, ""token_position_r"": 9}"
2025-10-06T23:18:44,COMMANDER,INFO,Podsumowanie żetonu,"{""commander_id"": 3, ""token_id"": ""K_Pluton__3_PL_K_Pluton"", ""allocated_pe"": 9, ""spent_pe"": 4, ""refunded_pe"": 5}"
2025-10-06T23:18:44,COMMANDER,INFO,Zbiorcze podsumowanie tury,"{""commander_id"": 3, ""allocated_total"": 18, ""spent_total"": 8, ""refunded_total"": 10, ""unassigned_total"": 0}"
2025-10-06T23:18:44,COMMANDER,INFO,Koniec tury komendanta,"{""commander_id"": 3, ""spent"": 8, ""remaining"": 10, ""token_share"": 9, ""tokens"": 2}"
2025-10-06T23:18:51,COMMANDER,INFO,Start tury komendanta,"{""commander_id"": 5, ""nation"": ""Niemcy"", ""tokens"": 2, ""budget"": 8}"
2025-10-06T23:18:51,COMMANDER,DEBUG,Plan przydziału PE,"{""commander_id"": 5, ""token_count"": 2, ""share_per_token"": 4, ""budget"": 8}"
2025-10-06T23:18:51,COMMANDER,DEBUG,Przydział żetonowi,"{""commander_id"": 5, ""token_id"": ""K_Pluton__5_N_K_Pluton"", ""allocated_pe"": 4, ""token_position_q"": 42, ""token_position_r"": -6}"
2025-10-06T23:18:51,COMMANDER,INFO,Podsumowanie żetonu,"{""commander_id"": 5, ""token_id"": ""K_Pluton__5_N_K_Pluton"", ""allocated_pe"": 4, ""spent_pe"": 4, ""refunded_pe"": 0}"
2025-10-06T23:18:51,COMMANDER,DEBUG,Przydział żetonowi,"{""commander_id"": 5, ""token_id"": ""Z_Pluton__5_N_Z_Pluton"", ""allocated_pe"": 4, ""token_position_q"": 47, ""token_position_r"": -14}"
2025-10-06T23:18:51,COMMANDER,INFO,Podsumowanie żetonu,"{""commander_id"": 5, ""token_id"": ""Z_Pluton__5_N_Z_Pluton"", ""allocated_pe"": 4, ""spent_pe"": 4, ""refunded_pe"": 0}"
2025-10-06T23:18:51,COMMANDER,INFO,Zbiorcze podsumowanie tury,"{""commander_id"": 5, ""allocated_total"": 8, ""spent_total"": 8, ""refunded_total"": 0, ""unassigned_total"": 0}"
2025-10-06T23:18:51,COMMANDER,INFO,Koniec tury komendanta,"{""commander_id"": 5, ""spent"": 8, ""remaining"": 0, ""token_share"": 4, ""tokens"": 2}"
2025-10-06T23:18:51,COMMANDER,INFO,Start tury komendanta,"{""commander_id"": 6, ""nation"": ""Niemcy"", ""tokens"": 2, ""budget"": 11}"
2025-10-06T23:18:51,COMMANDER,DEBUG,Plan przydziału PE,"{""commander_id"": 6, ""token_count"": 2, ""share_per_token"": 5, ""budget"": 11}"
2025-10-06T23:18:51,COMMANDER,DEBUG,Przydział żetonowi,"{""commander_id"": 6, ""token_id"": ""K_Pluton__6_N_K_Pluton"", ""allocated_pe"": 5, ""token_position_q"": 35, ""token_position_r"": 10}"
2025-10-06T23:18:51,COMMANDER,INFO,Podsumowanie żetonu,"{""commander_id"": 6, ""token_id"": ""K_Pluton__6_N_K_Pluton"", ""allocated_pe"": 5, ""spent_pe"": 4, ""refunded_pe"": 1}"
