timestamp,nation,unit_id,action_type,from_q,from_r,to_q,to_r,reason
2025-08-24T21:43:24.792396,Polska,TURN_START,turn_begin,,,,,AI Commander turn started for player 2
2025-08-24T21:43:24.854745,Polska,AL_Kompania__2_Dywizjon_Artylerii,move_full,6,9,11,9,"Full path to target (11, 9)"
2025-08-24T21:43:24.879038,Polska,P_Pluton__2_Batalion_Strzelc_w,move_full,9,-4,6,-1,"Full path to target (6, -1)"
2025-08-24T21:43:24.907836,Polska,TL_Pluton__2_Pluton_Tankietek_20250703213014,move_full,16,0,16,5,"Full path to target (16, 5)"
2025-08-24T21:43:24.923760,Polska,P_Pluton__2_Pu_k_Piechoty_20250703213008,move_full,18,-2,22,-6,"Full path to target (22, -6)"
2025-08-24T21:43:24.939249,Polska,P_Kompania__2_Batalion_Strzelc_w,move_full,20,-8,16,-8,"Full path to target (16, -8)"
2025-08-24T21:43:24.953846,Polska,P_Pluton__2_Pu_k_Piechoty,move_full,21,3,25,3,"Full path to target (25, 3)"
2025-08-24T21:43:24.977888,Polska,AL_Batalion__2_Pu_k_Artylerii,move_full,8,-3,13,-3,"Full path to target (13, -3)"
2025-08-24T21:43:25.012356,Polska,TL_Pluton__2_Pluton_Tankietek,move_full,9,-3,9,1,"Full path to target (9, 1)"
2025-08-24T21:43:25.028674,Polska,P_Kompania__2_Pu_k_Piechoty,move_full,11,-1,7,-1,"Full path to target (7, -1)"
2025-08-24T21:43:25.044636,Polska,P_Batalion__2_Kompania_Grenadier_w_20250703213005,move_full,20,3,24,3,"Full path to target (24, 3)"
2025-08-24T21:43:25.060910,Polska,AL_Pluton__2_Bateria_Artylerii,move_full,17,-1,22,-1,"Full path to target (22, -1)"
2025-08-24T21:43:25.074626,Polska,P_Batalion__2_Pu_k_Piechoty,move_full,23,-3,27,-3,"Full path to target (27, -3)"
2025-08-24T21:43:25.087417,Polska,TL_Kompania__2_Pluton_Tankietek,move_full,23,-7,23,-2,"Full path to target (23, -2)"
2025-08-24T21:43:25.101785,Polska,P_Batalion__2_Batalion_Strzelc_w,move_full,24,-8,29,-8,"Full path to target (29, -8)"
2025-08-24T21:43:25.115476,Polska,P_Kompania__2_Batalion_Strzelc_w_20250703213012,move_full,23,-8,23,-4,"Full path to target (23, -4)"
2025-08-24T21:43:25.122554,Polska,P_Batalion__2_Kompania_Grenadier_w,move_full,15,-7,19,-7,"Full path to target (19, -7)"
2025-08-24T21:43:25.122554,Polska,TURN_END,turn_summary,,,,,Turn completed: 16/16 units moved
2025-08-24T21:43:25.139883,Polska,TURN_START,turn_begin,,,,,AI Commander turn started for player 3
2025-08-24T21:43:25.148814,Polska,P_Batalion__3_Pu_k_Piechoty,move_full,13,15,9,19,"Full path to target (9, 19)"
2025-08-24T21:43:25.160047,Polska,AL_Batalion__3_Pu_k_Artylerii,move_full,16,19,19,19,"Full path to target (19, 19)"
2025-08-24T21:43:25.172774,Polska,Z_Pluton__3_Kompania_Zaopatrzeniowa,move_full,16,20,20,20,"Full path to target (20, 20)"
2025-08-24T21:43:25.181920,Polska,TS_Kompania__3_Sam_Pancerny_Einheit,move_full,19,14,24,14,"Full path to target (24, 14)"
2025-08-24T21:43:25.198209,Polska,P_Batalion__3_Batalion_Strzelc_w,move_full,20,13,25,13,"Full path to target (25, 13)"
2025-08-24T21:43:25.204087,Polska,P_Kompania__3_Batalion_Strzelc_w,move_full,20,14,22,14,"Full path to target (22, 14)"
2025-08-24T21:43:25.226527,Polska,K_Batalion__3_Oddzia_Jazdy,move_full,21,18,21,22,"Full path to target (21, 22)"
2025-08-24T21:43:25.244316,Polska,TL_Batalion__3_Kompania_Czo_g_w_Lekkich,move_full,23,17,18,17,"Full path to target (18, 17)"
2025-08-24T21:43:25.260462,Polska,P_Pluton__3_Pu_k_Piechoty,move_full,24,16,20,16,"Full path to target (20, 16)"
2025-08-24T21:43:25.260462,Polska,TURN_END,turn_summary,,,,,Turn completed: 9/9 units moved
2025-08-24T21:46:23.192205,Polska,TURN_START,turn_begin,,,,,AI Commander turn started for player 2
2025-08-24T21:46:23.253909,Polska,AL_Kompania__2_Dywizjon_Artylerii,move_partial,6,9,7,3,"Partial path to target (16, -7) (MP limited)"
2025-08-24T21:46:23.253909,Polska,P_Pluton__2_Batalion_Strzelc_w,move_partial,9,-4,13,-6,"Partial path to target (16, -7) (MP limited)"
2025-08-24T21:46:23.273606,Polska,TL_Pluton__2_Pluton_Tankietek_20250703213014,move_partial,16,0,16,-5,"Partial path to target (16, -7) (MP limited)"
2025-08-24T21:46:23.283138,Polska,P_Pluton__2_Pu_k_Piechoty_20250703213008,move_partial,18,-2,16,-4,"Partial path to target (16, -7) (MP limited)"
2025-08-24T21:46:23.287151,Polska,P_Kompania__2_Batalion_Strzelc_w,move_full,20,-8,16,-7,"Full path to target (16, -7)"
2025-08-24T21:46:23.297702,Polska,P_Pluton__2_Pu_k_Piechoty,move_partial,21,3,18,2,"Partial path to target (16, -8) (MP limited)"
2025-08-24T21:46:23.309214,Polska,AL_Batalion__2_Pu_k_Artylerii,move_partial,8,-3,13,-5,"Partial path to target (16, -8) (MP limited)"
2025-08-24T21:46:23.318823,Polska,TL_Pluton__2_Pluton_Tankietek,move_partial,9,-3,12,-6,"Partial path to target (16, -8) (MP limited)"
2025-08-24T21:46:23.325565,Polska,P_Kompania__2_Pu_k_Piechoty,move_partial,11,-1,14,-5,"Partial path to target (16, -8) (MP limited)"
2025-08-24T21:46:23.336850,Polska,P_Batalion__2_Kompania_Grenadier_w_20250703213005,move_partial,20,3,16,3,"Partial path to target (16, -8) (MP limited)"
2025-08-24T21:46:23.348716,Polska,AL_Pluton__2_Bateria_Artylerii,move_partial,17,-1,17,-5,"Partial path to target (16, -8) (MP limited)"
2025-08-24T21:46:23.354933,Polska,P_Batalion__2_Pu_k_Piechoty,move_partial,23,-3,20,-4,"Partial path to target (16, -8) (MP limited)"
2025-08-24T21:46:23.354933,Polska,TL_Kompania__2_Pluton_Tankietek,move_partial,23,-7,20,-6,"Partial path to target (16, -8) (MP limited)"
2025-08-24T21:46:23.374639,Polska,P_Batalion__2_Batalion_Strzelc_w,move_partial,24,-8,18,-9,"Partial path to target (16, -8) (MP limited)"
2025-08-24T21:46:23.388662,Polska,P_Kompania__2_Batalion_Strzelc_w_20250703213012,move_partial,23,-8,20,-9,"Partial path to target (16, -8) (MP limited)"
2025-08-24T21:46:23.390665,Polska,P_Batalion__2_Kompania_Grenadier_w,move_full,15,-7,16,-8,"Full path to target (16, -8)"
2025-08-24T21:46:23.399067,Polska,TURN_END,turn_summary,,,,,Turn completed: 16/16 units moved
2025-08-24T21:46:23.405425,Polska,TURN_START,turn_begin,,,,,AI Commander turn started for player 3
2025-08-24T21:46:23.419123,Polska,P_Batalion__3_Pu_k_Piechoty,move_full,13,15,14,15,"Full path to target (14, 15)"
2025-08-24T21:46:23.430407,Polska,AL_Batalion__3_Pu_k_Artylerii,move_partial,16,19,14,18,"Partial path to target [13, 15] (MP limited)"
2025-08-24T21:46:23.439081,Polska,Z_Pluton__3_Kompania_Zaopatrzeniowa,move_partial,16,20,15,17,"Partial path to target [13, 15] (MP limited)"
2025-08-24T21:46:23.451538,Polska,TS_Kompania__3_Sam_Pancerny_Einheit,move_partial,19,14,14,14,"Partial path to target [13, 15] (MP limited)"
2025-08-24T21:46:23.469306,Polska,P_Batalion__3_Batalion_Strzelc_w,move_partial,20,13,13,14,"Partial path to target [13, 15] (MP limited)"
2025-08-24T21:46:23.472753,Polska,P_Kompania__3_Batalion_Strzelc_w,move_partial,20,14,18,14,"Partial path to target [13, 15] (MP limited)"
2025-08-24T21:46:23.482873,Polska,K_Batalion__3_Oddzia_Jazdy,move_partial,21,18,17,18,"Partial path to target [13, 15] (MP limited)"
2025-08-24T21:46:23.490733,Polska,TL_Batalion__3_Kompania_Czo_g_w_Lekkich,move_partial,23,17,18,17,"Partial path to target [13, 15] (MP limited)"
2025-08-24T21:46:23.497055,Polska,P_Pluton__3_Pu_k_Piechoty,move_partial,24,16,20,16,"Partial path to target [13, 15] (MP limited)"
2025-08-24T21:46:23.499062,Polska,TURN_END,turn_summary,,,,,Turn completed: 9/9 units moved
2025-08-24T21:46:23.740500,Niemcy,TURN_START,turn_begin,,,,,AI Commander turn started for player 5
2025-08-24T21:46:23.763047,Niemcy,P_Batalion__5_Sch_tzen_Kompanie,move_partial,38,-17,42,-14,"Partial path to target (44, -14) (MP limited)"
2025-08-24T21:46:23.769947,Niemcy,TŚ_Pluton__5_Panzer_Brigade,move_partial,39,-17,40,-14,"Partial path to target (44, -14) (MP limited)"
2025-08-24T21:46:23.774255,Niemcy,K_Batalion__5_Kawaleria_Einheit,move_full,43,-15,44,-14,"Full path to target (44, -14)"
2025-08-24T21:46:23.777668,Niemcy,P_Kompania__5_Sch_tzen_Kompanie,move_full,43,-14,43,-15,"Full path to target (43, -15)"
