timestamp,turn,phase,nation,unit_id,unit_type,action_type,from_q,from_r,to_q,to_r,target_q,target_r,target_type,target_value_before,target_value_after,movement_mode,path_len,path_used,progressive_used,adaptive_frac,mp_before,mp_after,fuel_before,fuel_after,combat_dmg_dealt,combat_dmg_taken,enemy_adj_before,enemy_adj_after,threat_level,decision_reason,extra_tags,reason
2025-08-29T22:10:45.728101,,,Niemcy,TURN_START,,turn_begin,,,,,,,,,,,,,,,,,,,,,,,,,,AI Commander turn started for player 5
2025-08-29T22:10:45.741671,,movement,Niemcy,TS_Batalion__5_Sam_Pancerny_Einheit,,full_move,50,-12,51,-12,51,-12,,,,combat,2,1,False,,6,5,9,,,,,,,"Strategic move to (51, -12)",garrison,"Strategic move to (51, -12)"
2025-08-29T22:10:45.889703,,movement,Niemcy,P_Batalion__5_Sch_tzen_Kompanie,,progressive_move,38,-17,30,-10,9,-4,,,,march,9,8,True,,10,4,8,,,,,,,"Strategic move to (9, -4)",,"Strategic move to (9, -4)"
2025-08-29T22:10:45.890708,,,Niemcy,P_Batalion__5_Sch_tzen_Kompanie,,advanced_autonomous,38,-17,9,-4,,,,,,,,,,,,,,,,,,,,,,Advanced auto mode: group 1 to keypoint
2025-08-29T22:10:45.914549,,movement,Niemcy,TŚ_Pluton__5_Panzer_Brigade,,progressive_move,39,-17,33,-11,9,-4,,,,march,7,6,True,,6,0,13,,,,,,,"Strategic move to (9, -4)",,"Strategic move to (9, -4)"
2025-08-29T22:10:45.916853,,,Niemcy,TŚ_Pluton__5_Panzer_Brigade,,advanced_autonomous,39,-17,9,-4,,,,,,,,,,,,,,,,,,,,,,Advanced auto mode: group 1 to keypoint
2025-08-29T22:10:45.943945,,movement,Niemcy,K_Batalion__5_Kawaleria_Einheit,,progressive_move,43,-15,37,-10,9,-4,,,,march,7,6,True,,6,0,6,,,,,,,"Strategic move to (9, -4)",,"Strategic move to (9, -4)"
2025-08-29T22:10:45.945252,,,Niemcy,K_Batalion__5_Kawaleria_Einheit,,advanced_autonomous,43,-15,9,-4,,,,,,,,,,,,,,,,,,,,,,Advanced auto mode: group 1 to keypoint
2025-08-29T22:10:45.965225,,movement,Niemcy,P_Kompania__5_Sch_tzen_Kompanie,,progressive_move,43,-14,40,-14,9,-4,,,,march,4,3,True,,3,0,5,,,,,,,"Strategic move to (9, -4)",,"Strategic move to (9, -4)"
2025-08-29T22:10:45.966359,,,Niemcy,P_Kompania__5_Sch_tzen_Kompanie,,advanced_autonomous,43,-14,9,-4,,,,,,,,,,,,,,,,,,,,,,Advanced auto mode: group 1 to keypoint
2025-08-29T22:10:46.071209,,movement,Niemcy,TL_Kompania__5_Panzer_Zug,,progressive_move,44,-15,30,-15,9,-4,,,,march,15,14,True,,14,0,14,,,,,,,"Strategic move to (9, -4)",,"Strategic move to (9, -4)"
2025-08-29T22:10:46.071209,,,Niemcy,TL_Kompania__5_Panzer_Zug,,advanced_autonomous,44,-15,9,-4,,,,,,,,,,,,,,,,,,,,,,Advanced auto mode: group 1 to keypoint
2025-08-29T22:10:46.190619,,movement,Niemcy,P_Pluton__5_Infanterie_Regiment,,progressive_move,45,-17,37,-17,15,-7,,,,march,9,8,True,,10,1,9,,,,,,,"Strategic move to (15, -7)",,"Strategic move to (15, -7)"
2025-08-29T22:10:46.190619,,,Niemcy,P_Pluton__5_Infanterie_Regiment,,advanced_autonomous,45,-17,15,-7,,,,,,,,,,,,,,,,,,,,,,Advanced auto mode: group 2 to keypoint
2025-08-29T22:10:46.207213,,movement,Niemcy,P_Kompania__5_Grenadier_Bataillon,,progressive_move,49,-11,46,-8,15,-7,,,,march,4,3,True,,3,0,7,,,,,,,"Strategic move to (15, -7)",,"Strategic move to (15, -7)"
2025-08-29T22:10:46.207213,,,Niemcy,P_Kompania__5_Grenadier_Bataillon,,advanced_autonomous,49,-11,15,-7,,,,,,,,,,,,,,,,,,,,,,Advanced auto mode: group 2 to keypoint
