timestamp,turn,nation,mode,groups,units_total,units_moved,moved_pct,opportunistic_captures,combats,retreats,deployments,resupply_attempts,resupply_successes,threatened_units,low_income_streak,econ_weight,vp_weight,artillery_units,artillery_shots,artillery_reaction_used,artillery_avg_shots,casualties_turn,new_units_turn,total_targets_analyzed,avg_target_score,targets_with_fallback,groups_without_targets,dynamic_reassignments,strategic_state,aggression_level,high_priority_targets,free_targets_captured,coordination_failures,memory_targets_used,tactical_resupply_calls,notes
2025-09-14T13:56:50.933707,,Polska,advanced,4,7,3,42.9,1,0,0,0,0,0,1,1,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T13:56:52.335080,,Polska,advanced,4,9,3,33.3,0,0,2,0,0,0,5,1,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T13:57:01.655977,,Niemcy,advanced,2,9,3,33.3,0,0,0,0,0,0,0,1,1.0,0.5,2,0,0,0.0,0,0,0,0,0,0,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T13:57:03.135620,,Niemcy,advanced,3,5,3,60.0,4,0,1,0,0,0,1,1,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T13:57:23.425882,,Polska,advanced,4,8,2,25.0,2,0,0,0,0,0,1,1,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T13:57:25.952267,,Polska,advanced,5,9,2,22.2,0,0,1,0,0,0,4,1,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T13:57:44.426995,,Niemcy,advanced,3,6,1,16.7,3,0,0,0,0,0,0,1,1.0,0.5,2,0,0,0.0,0,0,0,0,0,0,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T13:57:46.247526,,Niemcy,advanced,4,8,2,25.0,0,1,0,0,0,0,2,1,1.0,0.5,0,0,0,0,0,0,0,0,0,1,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T13:58:16.294304,,Polska,advanced,5,9,2,22.2,1,0,0,0,0,0,1,1,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T13:58:18.372562,,Polska,advanced,5,10,1,10.0,0,0,0,0,0,0,3,1,1.0,0.5,0,0,0,0,0,0,0,0,0,1,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T13:58:43.303396,,Niemcy,advanced,4,10,1,10.0,0,0,0,0,0,0,0,1,1.0,0.5,2,0,0,0.0,0,0,0,0,0,2,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T13:58:44.576321,,Niemcy,advanced,5,9,0,0.0,0,0,0,0,0,0,2,1,1.0,0.5,0,0,0,0,0,0,0,0,0,4,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T13:59:09.732079,,Polska,advanced,5,9,1,11.1,1,0,0,0,0,0,0,1,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T13:59:12.200574,,Polska,advanced,4,10,0,0.0,0,0,0,0,0,0,3,1,1.0,0.5,0,0,0,0,0,0,0,0,0,1,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T13:59:38.661729,,Niemcy,advanced,3,8,0,0.0,1,0,0,0,0,0,1,1,1.0,0.5,2,0,0,0.0,0,0,0,0,0,2,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T13:59:40.826285,,Niemcy,advanced,5,7,2,28.6,2,1,2,0,0,0,4,1,1.0,0.5,0,0,0,0,0,0,0,0,0,1,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T14:00:26.036118,,Polska,advanced,5,12,1,8.3,1,0,0,2,0,0,0,1,1.0,0.5,1,0,0,0.0,0,2,0,0,0,0,0,LOSING,0.9,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T14:00:28.912326,,Polska,advanced,5,9,2,22.2,0,0,1,0,0,0,5,1,1.0,0.5,0,0,0,0,0,0,0,0,0,1,0,LOSING,0.9,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T14:00:46.559753,,Niemcy,advanced,4,8,0,0.0,0,0,0,0,0,0,0,1,1.0,0.5,2,0,0,0.0,0,0,0,0,0,0,0,LOSING,0.9,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T14:00:47.846862,,Niemcy,advanced,4,6,0,0.0,2,0,0,0,0,0,3,1,1.0,0.5,0,0,0,0,0,0,0,0,0,3,0,WINNING,0.3,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T14:01:12.371842,,Polska,advanced,5,10,3,30.0,1,0,0,0,0,0,0,1,1.0,0.5,1,0,0,0.0,0,0,0,0,0,0,0,LOSING,0.9,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T14:01:14.520246,,Polska,advanced,5,7,0,0.0,1,0,0,0,0,0,4,1,1.0,0.5,0,0,0,0,0,0,0,0,0,4,0,LOSING,0.9,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T14:01:23.877591,,Niemcy,advanced,5,10,0,0.0,0,0,0,0,0,0,0,1,1.0,0.5,2,0,0,0.0,0,0,0,0,0,3,0,LOSING,0.9,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T14:01:25.543572,,Niemcy,advanced,5,6,0,0.0,2,1,0,0,0,0,2,1,1.0,0.5,0,0,0,0,0,0,0,0,0,1,0,WINNING,0.3,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T14:02:01.566809,,Polska,advanced,5,11,1,9.1,1,0,0,0,0,0,1,1,1.0,0.5,1,0,0,0.0,0,0,0,0,0,0,0,LOSING,0.9,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T14:02:03.121660,,Polska,advanced,5,9,0,0.0,0,0,0,1,0,0,4,1,1.0,0.5,0,0,0,0,0,1,0,0,0,4,0,LOSING,0.9,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T14:02:19.778707,,Niemcy,advanced,5,10,0,0.0,0,1,0,0,0,0,0,1,1.0,0.5,2,1,0,0.5,0,0,0,0,0,0,0,LOSING,0.9,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T14:02:20.769346,,Niemcy,advanced,5,9,0,0.0,0,0,0,0,0,0,4,1,1.0,0.5,0,0,0,0,0,0,0,0,0,4,0,WINNING,0.3,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T14:02:35.331876,,Polska,advanced,5,11,0,0.0,1,0,0,0,0,0,3,1,1.0,0.5,1,0,0,0.0,0,0,0,0,0,1,0,LOSING,0.9,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T14:02:37.002692,,Polska,advanced,5,8,0,0.0,0,0,1,0,0,0,4,1,1.0,0.5,0,0,0,0,0,0,0,0,0,4,0,LOSING,0.9,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T14:02:48.763302,,Niemcy,advanced,5,9,0,0.0,1,2,0,0,0,0,3,1,1.0,0.5,2,2,0,1.0,0,0,0,0,0,4,0,LOSING,0.9,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T14:02:50.419015,,Niemcy,advanced,5,7,0,0.0,1,0,0,0,0,0,3,1,1.0,0.5,0,0,0,0,0,0,0,0,0,1,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-14T14:03:00.958310,,Polska,advanced,5,12,0,0.0,0,0,0,0,0,0,1,1,1.0,0.5,1,0,0,0.0,0,0,0,0,0,1,0,LOSING,0.9,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
