timestamp,nation,action,econ_before,econ_after,allocated_total,units_bought,rule,metrics_json
2025-08-24T12:22:02,Polska,COMBO,83,46,19,1,strategic_combo_ROZWÓJ,"{""econ"": 83, ""own_units"": 25, ""low_fuel_ratio"": 0.0, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 33, ""purchase_budget"": 33}"
2025-08-24T12:22:02,Niemcy,COMBO,98,59,23,1,strategic_combo_ROZWÓJ,"{""econ"": 98, ""own_units"": 26, ""low_fuel_ratio"": 0.0, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 39, ""purchase_budget"": 39}"
2025-08-24T12:22:02,Polska,COMBO,83,46,19,1,strategic_combo_ROZWÓJ,"{""econ"": 83, ""own_units"": 25, ""low_fuel_ratio"": 0.08, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 33, ""purchase_budget"": 33}"
2025-08-24T12:22:02,Niemcy,COMBO,120,66,28,1,strategic_combo_ROZWÓJ,"{""econ"": 120, ""own_units"": 26, ""low_fuel_ratio"": 0.077, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 48, ""purchase_budget"": 48}"
2025-08-24T12:22:02,Polska,COMBO,150,87,63,0,strategic_combo_KRYZYS_PALIWA,"{""econ"": 150, ""own_units"": 25, ""low_fuel_ratio"": 0.28, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.7, ""purchase"": 0.15}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_KRYZYS_PALIWA"", ""allocate_budget"": 105, ""purchase_budget"": 22}"
2025-08-24T12:22:02,Niemcy,ALLOCATE,133,54,79,0,strategic_allocate_KRYZYS_PALIWA,"{""econ"": 133, ""own_units"": 26, ""low_fuel_ratio"": 0.269, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.7, ""purchase"": 0.15}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_allocate_KRYZYS_PALIWA"", ""allocation_weights"": {""raw"": {""5"": 0.387, ""6"": 0.175}, ""norm"": {""5"": 0.689, ""6"": 0.311}, ""details"": {""5"": {""baza"": 0.1, ""brak_zaop"": 0.4, ""brak_art"": 0.0, ""niskie_paliwo"": 0.2, ""malo_jednostek"": 0.0, ""kara_niewydane"": 0.31, ""suma"": 0.387, ""unspent"": 25, ""avg_fuel"": 0.59, ""total_units"": 9}, ""6"": {""baza"": 0.1, ""brak_zaop"": 0.4, ""brak_art"": 0.0, ""niskie_paliwo"": 0.0, ""malo_jednostek"": 0.0, ""kara_niewydane"": 0.33, ""suma"": 0.175, ""unspent"": 26, ""avg_fuel"": 0.74, ""total_units"": 17}}, ""allocations"": {""5"": 55, ""6"": 24}}}"
2025-08-24T12:22:03,Polska,COMBO,162,95,67,0,strategic_combo_KRYZYS_PALIWA,"{""econ"": 162, ""own_units"": 25, ""low_fuel_ratio"": 0.28, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.7, ""purchase"": 0.15}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_KRYZYS_PALIWA"", ""allocate_budget"": 113, ""purchase_budget"": 24}"
2025-08-24T12:22:03,Niemcy,ALLOCATE,103,42,61,0,strategic_allocate_KRYZYS_PALIWA,"{""econ"": 103, ""own_units"": 26, ""low_fuel_ratio"": 0.308, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.7, ""purchase"": 0.15}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_allocate_KRYZYS_PALIWA"", ""allocation_weights"": {""raw"": {""5"": 0.3, ""6"": 0.1}, ""norm"": {""5"": 0.75, ""6"": 0.25}, ""details"": {""5"": {""baza"": 0.1, ""brak_zaop"": 0.4, ""brak_art"": 0.0, ""niskie_paliwo"": 0.2, ""malo_jednostek"": 0.0, ""kara_niewydane"": 0.4, ""suma"": 0.3, ""unspent"": 80, ""avg_fuel"": 0.56, ""total_units"": 9}, ""6"": {""baza"": 0.1, ""brak_zaop"": 0.4, ""brak_art"": 0.0, ""niskie_paliwo"": 0.0, ""malo_jednostek"": 0.0, ""kara_niewydane"": 0.4, ""suma"": 0.1, ""unspent"": 50, ""avg_fuel"": 0.74, ""total_units"": 17}}, ""allocations"": {""5"": 46, ""6"": 15}}}"
2025-08-24T12:22:03,Polska,COMBO,183,91,76,1,strategic_combo_KRYZYS_PALIWA,"{""econ"": 183, ""own_units"": 25, ""low_fuel_ratio"": 0.28, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.7, ""purchase"": 0.15}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_KRYZYS_PALIWA"", ""allocate_budget"": 128, ""purchase_budget"": 27}"
2025-08-24T12:22:03,Niemcy,COMBO,158,92,66,0,strategic_combo_KRYZYS_PALIWA,"{""econ"": 158, ""own_units"": 26, ""low_fuel_ratio"": 0.308, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.7, ""purchase"": 0.15}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_KRYZYS_PALIWA"", ""allocate_budget"": 110, ""purchase_budget"": 23}"
