timestamp,turn,nation,pe_start,pe_allocated,pe_spent_purchases,pe_total_used,pe_remaining,strategy_used,action,orders_issued,low_fuel_ratio,total_units,allocate_budget,purchase_budget,econ_after,vp_own,vp_enemy,vp_status
2025-09-11T23:20:08.106214,,Niemcy,40,0,0,0,40,HOLD,HOLD,0,0.0,29,0,0,40,0,0,0
2025-09-11T23:29:10.974924,,Niemcy,165,39,0,39,126,COMBO,COMBO,0,0.0,29,0,0,126,0,0,0
2025-09-11T23:36:45.324249,,Niemcy,275,82,0,82,193,COMBO,COMBO,0,0.2962962962962963,27,0,0,193,0,90,-90
2025-09-11T23:46:24.814986,,Niemcy,332,99,0,99,233,COMBO,COMBO,0,0.2916666666666667,24,0,0,233,0,134,-134
2025-09-11T23:54:17.326208,,Niemcy,410,123,0,123,287,COMBO,COMBO,0,0.3181818181818182,22,0,0,287,0,115,-115
2025-09-12T00:00:47.765098,,Niemcy,393,117,0,117,276,COMBO,COMBO,0,0.29411764705882354,17,0,0,276,0,207,-207
2025-09-12T00:03:39.190291,,Niemcy,351,105,0,105,246,COMBO,COMBO,0,0.5,14,0,0,246,0,273,-273
2025-09-12T00:06:51.913889,,Niemcy,361,108,0,108,253,COMBO,COMBO,0,0.6923076923076923,13,0,0,253,0,296,-296
2025-09-12T00:09:18.444570,,Niemcy,354,106,0,106,248,COMBO,COMBO,0,0.6,10,0,0,248,0,363,-363
2025-09-12T00:12:26.670735,,Niemcy,267,79,0,79,188,COMBO,COMBO,0,0.6666666666666666,9,0,0,188,0,378,-378
2025-09-12T00:14:37.614237,,Niemcy,209,62,0,62,147,COMBO,COMBO,0,0.6666666666666666,9,0,0,147,0,378,-378
2025-09-12T00:17:33.636644,,Niemcy,199,59,0,59,140,COMBO,COMBO,0,0.75,8,0,0,140,0,410,-410
2025-09-12T00:20:41.243454,,Niemcy,165,49,0,49,116,COMBO,COMBO,0,0.5,6,0,0,116,0,447,-447
2025-09-12T00:24:18.458140,,Niemcy,198,59,0,59,139,COMBO,COMBO,0,0.6666666666666666,3,0,0,139,0,474,-474
