timestamp,turn,nation,requests_collected,urgency_breakdown,total_units_requested,top_priorities
2025-09-14T14:22:18.149682,1,Polska,0,,0,
2025-09-14T14:22:20.559878,1,Niemcy,0,,0,
2025-09-14T14:22:21.989015,1,Polska,0,,0,
2025-09-14T14:22:24.403396,1,Niemcy,0,,0,
2025-09-14T14:22:26.558259,1,Polska,0,,0,
2025-09-14T14:22:29.794798,1,Niemcy,0,,0,
2025-09-14T14:22:32.680092,1,Polska,0,,0,
2025-09-14T14:22:35.891750,1,Niemcy,0,,0,
2025-09-14T14:25:00.707861,1,Polska,0,,0,
2025-09-14T14:25:03.975811,1,Niemcy,0,,0,
2025-09-14T14:25:05.630322,1,Polska,0,,0,
2025-09-14T14:25:08.609004,1,Niemcy,0,,0,
2025-09-14T14:25:10.898801,1,Polska,0,,0,
2025-09-14T14:25:14.729619,1,Niemcy,0,,0,
2025-09-14T14:25:18.027638,1,Polska,0,,0,
2025-09-14T14:25:21.447706,1,Niemcy,0,,0,
2025-09-14T14:25:24.625402,1,Polska,0,,0,
2025-09-14T14:25:28.423800,1,Niemcy,0,,0,
2025-09-14T14:25:31.256657,1,Polska,0,,0,
2025-09-14T14:25:34.231570,1,Niemcy,0,,0,
2025-09-14T14:25:36.872464,1,Polska,0,,0,
2025-09-14T14:25:39.801348,1,Niemcy,0,,0,
2025-09-14T14:25:44.485956,1,Polska,0,,0,
2025-09-14T14:25:47.285564,1,Niemcy,0,,0,
2025-09-14T14:25:50.739487,1,Polska,0,,0,
2025-09-14T14:25:54.443042,1,Niemcy,0,,0,
2025-09-14T14:55:57.205175,1,Polska,0,,0,
2025-09-14T14:55:59.628635,1,Niemcy,0,,0,
2025-09-14T14:56:01.134928,1,Polska,0,,0,
2025-09-14T14:56:04.177626,1,Niemcy,0,,0,
2025-09-14T14:56:06.304234,1,Polska,0,,0,
2025-09-14T14:56:09.663179,1,Niemcy,0,,0,
2025-09-14T14:56:12.834196,1,Polska,0,,0,
2025-09-14T14:56:16.313902,1,Niemcy,0,,0,
2025-09-14T14:56:19.198919,1,Polska,0,,0,
2025-09-14T14:56:23.072032,1,Niemcy,0,,0,
2025-09-14T14:56:26.343108,1,Polska,0,,0,
2025-09-14T14:56:29.590710,1,Niemcy,0,,0,
2025-09-14T14:56:32.410811,1,Polska,0,,0,
2025-09-14T14:56:35.644761,1,Niemcy,0,,0,
2025-09-14T14:56:38.744730,1,Polska,0,,0,
2025-09-14T14:56:42.253651,1,Niemcy,0,,0,
2025-09-14T14:56:45.679973,1,Polska,0,,0,
2025-09-14T14:56:48.763898,1,Niemcy,0,,0,
