tura,pe_start,pe_allocated,threat_level,aggression_level,action_attack,action_defend,action_fuel_resupply,action_move
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,3.0,0.0,False,False,False,True
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,3.0,0.0,False,False,False,True
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,3.0,0.0,False,False,False,True
1,0.0,0.0,2.0,0.7,False,False,False,True
1,0.0,0.0,2.0,0.7,True,False,False,False
1,0.0,0.0,2.0,0.7,False,True,False,False
2,0.0,0.0,4.0,0.8,False,False,False,True
2,0.0,0.0,4.0,0.8,True,False,False,False
2,0.0,0.0,4.0,0.8,False,True,False,False
3,0.0,0.0,6.0,0.9,False,False,False,True
3,0.0,0.0,6.0,0.9,True,False,False,False
3,0.0,0.0,6.0,0.9,False,True,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,3.0,0.0,False,False,False,True
1,0.0,0.0,2.0,0.7,False,False,False,True
1,0.0,0.0,2.0,0.7,True,False,False,False
1,0.0,0.0,2.0,0.7,False,True,False,False
2,0.0,0.0,4.0,0.8,False,False,False,True
2,0.0,0.0,4.0,0.8,True,False,False,False
2,0.0,0.0,4.0,0.8,False,True,False,False
3,0.0,0.0,6.0,0.9,False,False,False,True
3,0.0,0.0,6.0,0.9,True,False,False,False
3,0.0,0.0,6.0,0.9,False,True,False,False
0,0.0,0.0,0.0,0.0,False,False,False,True
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,3.0,0.0,False,False,False,True
1,0.0,0.0,2.0,0.7,False,False,False,True
1,0.0,0.0,2.0,0.7,True,False,False,False
1,0.0,0.0,2.0,0.7,False,True,False,False
2,0.0,0.0,4.0,0.8,False,False,False,True
2,0.0,0.0,4.0,0.8,True,False,False,False
2,0.0,0.0,4.0,0.8,False,True,False,False
3,0.0,0.0,6.0,0.9,False,False,False,True
3,0.0,0.0,6.0,0.9,True,False,False,False
3,0.0,0.0,6.0,0.9,False,True,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,3.0,0.0,False,False,False,True
1,0.0,0.0,2.0,0.7,False,False,False,True
1,0.0,0.0,2.0,0.7,True,False,False,False
1,0.0,0.0,2.0,0.7,False,True,False,False
2,0.0,0.0,4.0,0.8,False,False,False,True
2,0.0,0.0,4.0,0.8,True,False,False,False
2,0.0,0.0,4.0,0.8,False,True,False,False
3,0.0,0.0,6.0,0.9,False,False,False,True
3,0.0,0.0,6.0,0.9,True,False,False,False
3,0.0,0.0,6.0,0.9,False,True,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,100.0,85.0,0.0,0.0,False,False,False,False
1,100.0,85.0,0.0,0.0,False,False,False,False
2,110.0,90.0,0.0,0.0,False,False,False,False
3,120.0,95.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,100.0,85.0,0.0,0.0,False,False,False,False
1,100.0,85.0,0.0,0.0,False,False,False,False
2,110.0,90.0,0.0,0.0,False,False,False,False
3,120.0,95.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,100.0,85.0,0.0,0.0,False,False,False,False
1,100.0,85.0,0.0,0.0,False,False,False,False
2,110.0,90.0,0.0,0.0,False,False,False,False
3,120.0,95.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,100.0,85.0,0.0,0.0,False,False,False,False
1,100.0,85.0,0.0,0.0,False,False,False,False
2,110.0,90.0,0.0,0.0,False,False,False,False
3,120.0,95.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,True,False
1,0.0,0.0,0.0,0.0,False,False,True,False
1,0.0,0.0,0.0,0.0,False,False,True,False
1,0.0,0.0,0.0,0.0,False,False,True,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
2,0.0,0.0,0.0,0.0,False,False,False,False
3,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
2,0.0,0.0,0.0,0.0,False,False,False,False
3,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
2,0.0,0.0,0.0,0.0,False,False,False,False
3,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
1,0.0,0.0,0.0,0.0,False,False,False,False
2,0.0,0.0,0.0,0.0,False,False,False,False
3,0.0,0.0,0.0,0.0,False,False,False,False
