pe_start,pe_allocated,pe_spent_purchases,tura,efficiency_ratio,pe_efficiency,strategy_success
100.0,85.0,70.0,1,0.693069306930693,0.693069306930693,1
100.0,85.0,68.0,1,0.6732673267326733,0.6732673267326733,1
110.0,90.0,76.0,2,0.6846846846846847,0.6846846846846847,1
120.0,95.0,84.0,3,0.6942148760330579,0.6942148760330579,1
100.0,85.0,70.0,1,0.693069306930693,0.693069306930693,1
100.0,85.0,68.0,1,0.6732673267326733,0.6732673267326733,1
110.0,90.0,76.0,2,0.6846846846846847,0.6846846846846847,1
120.0,95.0,84.0,3,0.6942148760330579,0.6942148760330579,1
100.0,85.0,70.0,1,0.693069306930693,0.693069306930693,1
100.0,85.0,68.0,1,0.6732673267326733,0.6732673267326733,1
110.0,90.0,76.0,2,0.6846846846846847,0.6846846846846847,1
120.0,95.0,84.0,3,0.6942148760330579,0.6942148760330579,1
100.0,85.0,70.0,1,0.693069306930693,0.693069306930693,1
100.0,85.0,68.0,1,0.6732673267326733,0.6732673267326733,1
110.0,90.0,76.0,2,0.6846846846846847,0.6846846846846847,1
120.0,95.0,84.0,3,0.6942148760330579,0.6942148760330579,1
