timestamp,turn,phase,nation,unit_id,unit_type,action_type,from_q,from_r,to_q,to_r,target_q,target_r,target_type,target_value_before,target_value_after,movement_mode,path_len,path_used,progressive_used,adaptive_frac,mp_before,mp_after,fuel_before,fuel_after,combat_dmg_dealt,combat_dmg_taken,enemy_adj_before,enemy_adj_after,threat_level,decision_reason,extra_tags,reason,skip_reason,target_search_candidates,target_search_best_score,target_search_best_distance,group_id,group_size,group_leader_pos,group_assignment_score,strategic_state,aggression_level,priority_level,target_is_free,fallback_used,enemy_distance,threat_assessment,coordination_mode,ai_memory_target,reassignment_count,tactical_mode,pathfinding_failures,valid_candidates,total_candidates,unit_mp_available,unit_fuel_available
2025-09-15T23:51:22.710597,,,Polska,TURN_START,,turn_begin,,,,,,,,,,,,,,,,,,,,,,,,,,AI Commander turn started for player 2,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:51:23.033725,,grouping,Polska,GROUP_1,,group_formation,24,-9,24,-8,24,-8,,,,,,,,,,,,,,,,,,,,"Group 1: 3 units, score 0.00",,,,,1,3,"24,-9",0.0,,,,False,,,,advanced,,,,,,,,
2025-09-15T23:51:23.033725,,grouping,Polska,GROUP_3,,group_formation,28,2,28,3,28,3,,,,,,,,,,,,,,,,,,,,"Group 3: 1 units, score 0.00",,,,,3,1,"28,2",0.0,,,,False,,,,advanced,,,,,,,,
2025-09-15T23:51:23.033725,,grouping,Polska,GROUP_4,,group_formation,15,-7,15,-6,15,-6,,,,,,,,,,,,,,,,,,,,"Group 4: 1 units, score 0.00",,,,,4,1,"15,-7",0.0,,,,False,,,,advanced,,,,,,,,
2025-09-15T23:51:23.051306,,strategy,Polska,STRATEGY,,strategic_decision,,,,,,,,,,,,,,,,,,,,,,,,,,"Strategy: REASSIGNMENT, aggression 0.50, 4 groups, 0 reassignments",,,,,,,,,REASSIGNMENT,0.5,,,,,,adaptive,,0,dynamic_reassignment,,,,,
2025-09-15T23:51:23.065159,,strategy,Polska,STRATEGY,,strategic_decision,,,,,,,,,,,,,,,,,,,,,,,,,,"Strategy: REASSIGNMENT, aggression 0.50, 4 groups, 0 reassignments",,,,,,,,,REASSIGNMENT,0.5,,,,,,adaptive,,0,dynamic_reassignment,,,,,
2025-09-15T23:51:23.073539,,,Polska,TL_Kompania__2_Batalion_Pancerny,,adaptive_autonomous,24,-8,24,-8,,,,,,,,,,,,,,,,,,,,,,"Advanced auto mode: group 1 (strategy: TIED, aggr: 0.5)",,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:51:23.139700,,strategy,Polska,STRATEGY,,strategic_decision,,,,,,,,,,,,,,,,,,,,,,,,,,"Strategy: REASSIGNMENT, aggression 0.50, 1 groups, 0 reassignments",,,,,,,,,REASSIGNMENT,0.5,,,,,,adaptive,,0,dynamic_reassignment,,,,,
2025-09-15T23:51:23.157747,,target_selection,Polska,P_Pluton__2_Kompania_Grenadier_w,,target_analysis,,,,,27,5,,,,,,,,,,,,,,,,,,,,"Target analysis: 29 candidates, score -1.00",,29,-1,999,,,,,,,,,False,,,,,,,29,29,29,2,2
2025-09-15T23:51:23.168967,,,Polska,P_Pluton__2_Kompania_Grenadier_w,,adaptive_autonomous,27,5,27,5,,,,,,,,,,,,,,,,,,,,,,"Advanced auto mode: group 2 (strategy: TIED, aggr: 0.5)",,,,,,,,,,,,,,,,,,,,,,,,
