timestamp,turn,nation,mode,groups,units_total,units_moved,moved_pct,opportunistic_captures,combats,retreats,deployments,resupply_attempts,resupply_successes,threatened_units,low_income_streak,econ_weight,vp_weight,artillery_units,artillery_shots,artillery_reaction_used,artillery_avg_shots,casualties_turn,new_units_turn,total_targets_analyzed,avg_target_score,targets_with_fallback,groups_without_targets,dynamic_reassignments,strategic_state,aggression_level,high_priority_targets,free_targets_captured,coordination_failures,memory_targets_used,tactical_resupply_calls,notes
2025-09-15T23:51:23.240207,,Polska,advanced,4,7,3,42.9,1,0,0,0,0,0,1,1,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-15T23:51:24.496562,,Polska,advanced,4,9,2,22.2,0,0,2,0,0,0,5,1,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-15T23:51:25.086316,,Niemcy,advanced,2,9,3,33.3,0,0,0,0,0,0,0,1,1.0,0.5,2,0,0,0.0,0,0,0,0,0,0,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-15T23:51:26.095528,,Niemcy,advanced,3,5,3,60.0,4,0,1,0,0,0,1,1,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-15T23:51:27.189314,,Polska,advanced,3,9,1,11.1,0,0,0,0,0,0,0,1,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-15T23:51:29.016502,,Polska,advanced,4,9,1,11.1,0,0,1,0,0,0,6,1,1.0,0.5,0,0,0,0,0,0,0,0,0,1,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-15T23:51:30.349243,,Niemcy,advanced,3,6,1,16.7,3,0,0,0,0,0,0,1,1.0,0.5,2,0,0,0.0,0,0,0,0,0,0,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-15T23:51:32.038284,,Niemcy,advanced,5,8,2,25.0,1,0,1,0,0,0,3,1,1.0,0.5,0,0,0,0,0,0,0,0,0,1,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-15T23:51:33.218730,,Polska,advanced,4,7,1,14.3,2,0,0,0,0,0,2,1,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
2025-09-15T23:51:34.692764,,Polska,advanced,4,9,0,0.0,0,0,2,0,0,0,5,1,1.0,0.5,0,0,0,0,0,0,0,0,0,1,0,TIED,0.5,0,0,0,0,0,"Advanced mode: True, Strategic plan: True"
