timestamp,nation,action,econ_before,econ_after,allocated_total,units_bought,rule,metrics_json
2025-09-19T22:34:26,Niemcy,HOLD,15,15,0,0,econ<MIN_BUY,"{""econ"": 15, ""own_units"": 20, ""low_fuel_ratio"": 0.0, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""econ<MIN_BUY""}"
2025-09-19T22:38:30,Niemcy,COMBO,165,126,39,0,strategic_combo_ROZWÓJ,"{""econ"": 165, ""own_units"": 19, ""low_fuel_ratio"": 0.053, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": -25, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 66, ""purchase_budget"": 66}"
2025-09-19T22:49:36,Niemcy,COMBO,209,147,62,0,strategic_combo_KRYZYS_PALIWA,"{""econ"": 209, ""own_units"": 17, ""low_fuel_ratio"": 0.588, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.5, ""purchase"": 0.35}, ""game_phase"": 0.1, ""vp_status"": -25, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_KRYZYS_PALIWA"", ""allocate_budget"": 104, ""purchase_budget"": 73}"
2025-09-19T22:57:01,Niemcy,COMBO,204,156,48,0,strategic_combo_ROZWÓJ,"{""econ"": 204, ""own_units"": 16, ""low_fuel_ratio"": 0.0, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": -35, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 81, ""purchase_budget"": 81}"
2025-09-19T23:01:02,Niemcy,COMBO,236,166,70,0,strategic_combo_KRYZYS_PALIWA,"{""econ"": 236, ""own_units"": 16, ""low_fuel_ratio"": 0.625, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.5, ""purchase"": 0.35}, ""game_phase"": 0.1, ""vp_status"": -35, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_KRYZYS_PALIWA"", ""allocate_budget"": 118, ""purchase_budget"": 82}"
2025-09-19T23:01:08,Niemcy,COMBO,270,189,81,0,strategic_combo_KRYZYS_PALIWA,"{""econ"": 270, ""own_units"": 16, ""low_fuel_ratio"": 0.688, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.5, ""purchase"": 0.35}, ""game_phase"": 0.1, ""vp_status"": -35, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_KRYZYS_PALIWA"", ""allocate_budget"": 135, ""purchase_budget"": 94}"
2025-09-19T23:01:13,Niemcy,COMBO,313,220,93,0,strategic_combo_KRYZYS_PALIWA,"{""econ"": 313, ""own_units"": 16, ""low_fuel_ratio"": 0.625, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.5, ""purchase"": 0.35}, ""game_phase"": 0.1, ""vp_status"": -35, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_KRYZYS_PALIWA"", ""allocate_budget"": 156, ""purchase_budget"": 109}"
2025-09-19T23:01:19,Niemcy,COMBO,293,206,87,0,strategic_combo_KRYZYS_PALIWA,"{""econ"": 293, ""own_units"": 16, ""low_fuel_ratio"": 0.688, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.5, ""purchase"": 0.35}, ""game_phase"": 0.1, ""vp_status"": -35, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_KRYZYS_PALIWA"", ""allocate_budget"": 146, ""purchase_budget"": 102}"
2025-09-19T23:01:24,Niemcy,COMBO,251,176,75,0,strategic_combo_KRYZYS_PALIWA,"{""econ"": 251, ""own_units"": 16, ""low_fuel_ratio"": 0.688, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.5, ""purchase"": 0.35}, ""game_phase"": 0.1, ""vp_status"": -35, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_KRYZYS_PALIWA"", ""allocate_budget"": 125, ""purchase_budget"": 87}"
2025-09-19T23:01:30,Niemcy,COMBO,240,168,72,0,strategic_combo_KRYZYS_PALIWA,"{""econ"": 240, ""own_units"": 16, ""low_fuel_ratio"": 0.688, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.5, ""purchase"": 0.35}, ""game_phase"": 0.1, ""vp_status"": -35, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_KRYZYS_PALIWA"", ""allocate_budget"": 120, ""purchase_budget"": 84}"
