timestamp,turn,nation,pe_start,pe_allocated,pe_spent_purchases,pe_total_used,pe_remaining,strategy_used,action,orders_issued,low_fuel_ratio,total_units,allocate_budget,purchase_budget,econ_after,vp_own,vp_enemy,vp_status
2025-09-19T22:34:26.150250,,Niemcy,15,0,0,0,15,HOLD,HOLD,0,0.0,20,0,0,15,0,0,0
2025-09-19T22:38:30.916204,,Niemcy,165,39,0,39,126,COMBO,COMBO,0,0.05263157894736842,19,0,0,126,0,25,-25
2025-09-19T22:49:36.439923,,Niemcy,209,62,0,62,147,COMBO,COMBO,0,0.5882352941176471,17,0,0,147,0,25,-25
2025-09-19T22:57:01.005047,,Niemcy,204,48,0,48,156,COMBO,COMBO,0,0.0,16,0,0,156,0,35,-35
2025-09-19T23:01:02.976247,,Niemcy,236,70,0,70,166,COMBO,COMBO,0,0.625,16,0,0,166,0,35,-35
2025-09-19T23:01:08.536875,,Niemcy,270,81,0,81,189,COMBO,COMBO,0,0.6875,16,0,0,189,0,35,-35
2025-09-19T23:01:13.938335,,Niemcy,313,93,0,93,220,COMBO,COMBO,0,0.625,16,0,0,220,0,35,-35
2025-09-19T23:01:19.010017,,Niemcy,293,87,0,87,206,COMBO,COMBO,0,0.6875,16,0,0,206,0,35,-35
2025-09-19T23:01:24.580554,,Niemcy,251,75,0,75,176,COMBO,COMBO,0,0.6875,16,0,0,176,0,35,-35
2025-09-19T23:01:30.030548,,Niemcy,240,72,0,72,168,COMBO,COMBO,0,0.6875,16,0,0,168,0,35,-35
