timestamp,turn,nation,requests_collected,urgency_breakdown,total_units_requested,top_priorities
2025-09-19T22:34:26.110809,1,Niemcy,0,,0,
2025-09-19T22:38:30.835038,1,Niemcy,0,,0,
2025-09-19T22:49:36.417399,1,Niemcy,0,,0,
2025-09-19T22:57:00.985982,1,Niemcy,0,,0,
2025-09-19T23:01:02.960803,1,Niemcy,0,,0,
2025-09-19T23:01:08.527778,1,Niemcy,0,,0,
2025-09-19T23:01:13.923655,1,Niemcy,0,,0,
2025-09-19T23:01:19.001255,1,Niemcy,0,,0,
2025-09-19T23:01:24.566502,1,Niemcy,0,,0,
2025-09-19T23:01:30.012912,1,Niemcy,0,,0,
