timestamp,turn,nation,requests_collected,urgency_breakdown,total_units_requested,top_priorities
2025-09-15T23:52:34.045116,1,Polska,0,,0,
2025-09-15T23:52:36.089931,1,Niemcy,0,,0,
2025-09-15T23:52:37.359851,1,Polska,0,,0,
2025-09-15T23:52:39.884758,1,Niemcy,0,,0,
2025-09-15T23:52:42.765734,1,Polska,0,,0,
2025-09-15T23:52:45.872795,1,Niemcy,0,,0,
2025-09-15T23:52:49.210402,1,Polska,0,,0,
2025-09-15T23:52:52.519839,1,Niemcy,0,,0,
2025-09-15T23:52:56.330204,1,Polska,0,,0,
2025-09-15T23:53:00.151869,1,Niemcy,0,,0,
2025-09-15T23:53:02.806067,1,Polska,0,,0,
2025-09-15T23:53:05.693917,1,Niemcy,0,,0,
2025-09-15T23:53:08.390984,1,Polska,0,,0,
2025-09-15T23:53:11.251874,1,Niemcy,0,,0,
2025-09-15T23:53:14.546267,1,Polska,0,,0,
2025-09-15T23:53:17.914774,1,Niemcy,0,,0,
2025-09-15T23:53:20.615968,1,Polska,0,,0,
2025-09-15T23:53:24.082900,1,Niemcy,0,,0,
