data_czas,tura,faza,nacja,kategoria_akcji,jednostka_glowna,jednostki_wspierajace,zlozonsc_akcji,wymagana_koordynacja,typ_formacji,przewaga_terenu,oczekiwana_reakcja_wroga,wskazniki_sukcesu,czas_wykonania_ms,liczba_mikro_decyzji,wspolpraca_jednostek,innowacja_taktyczna,ograniczenie_ryzyka,plan_awaryjny_gotowy
2025-09-17 21:54:48,,,Polska,turn_begin,TURN_START,N/A,N/A,N/A,N/A,N/A,N/A,AI Commander turn started for player 2,,N/A,N/A,N/A,N/A,N/A
2025-09-17 21:54:48,N/A,grouping,Polska,group_formation,GROUP_1,3,N/A,True,group,N/A,N/A,"target=(24,-8)",N/A,N/A,0.0,N/A,N/A,N/A
2025-09-17 21:54:48,N/A,grouping,Polska,group_formation,GROUP_3,1,N/A,True,group,N/A,N/A,"target=(28,3)",N/A,N/A,0.0,N/A,N/A,N/A
2025-09-17 21:54:48,N/A,grouping,Polska,group_formation,GROUP_4,1,N/A,True,group,N/A,N/A,"target=(15,-6)",N/A,N/A,0.0,N/A,N/A,N/A
2025-09-17 21:54:48,,,Polska,adaptive_autonomous,TL_Kompania__2_Batalion_Pancerny,N/A,N/A,N/A,N/A,N/A,N/A,"Advanced auto mode: group 1 (strategy: TIED, aggr: 0.5)",,N/A,N/A,N/A,N/A,N/A
2025-09-17 21:54:49,N/A,target_selection,Polska,target_analysis,N/A,N/A,29,N/A,N/A,N/A,N/A,999,N/A,29,-1,N/A,False,N/A
2025-09-17 21:54:49,,,Polska,adaptive_autonomous,P_Pluton__2_Kompania_Grenadier_w,N/A,N/A,N/A,N/A,N/A,N/A,"Advanced auto mode: group 2 (strategy: TIED, aggr: 0.5)",,N/A,N/A,N/A,N/A,N/A
2025-09-17 21:54:49,,,Polska,adaptive_autonomous,P_Kompania__2_Pu_k_Piechoty,N/A,N/A,N/A,N/A,N/A,N/A,"Advanced auto mode: group 3 (strategy: TIED, aggr: 0.5)",,N/A,N/A,N/A,N/A,N/A
2025-09-17 21:54:49,,,Polska,turn_summary,TURN_END,N/A,N/A,N/A,N/A,N/A,N/A,"Turn completed: 3/7 units moved, 4 groups (advanced)",,N/A,N/A,N/A,N/A,N/A
2025-09-17 21:54:49,,,Polska,turn_begin,TURN_START,N/A,N/A,N/A,N/A,N/A,N/A,AI Commander turn started for player 3,,N/A,N/A,N/A,N/A,N/A
2025-09-17 21:54:49,N/A,grouping,Polska,group_formation,GROUP_4,3,N/A,True,group,N/A,N/A,"target=(34,11)",N/A,N/A,0.0,N/A,N/A,N/A
2025-09-17 21:54:50,N/A,target_selection,Polska,target_analysis,N/A,N/A,29,N/A,N/A,N/A,N/A,999,N/A,29,-1,N/A,False,N/A
2025-09-17 21:54:50,N/A,target_selection,Polska,target_analysis,N/A,N/A,29,N/A,N/A,N/A,N/A,999,N/A,29,-1,N/A,False,N/A
2025-09-17 21:54:50,N/A,target_selection,Polska,target_analysis,N/A,N/A,29,N/A,N/A,N/A,N/A,999,N/A,29,-1,N/A,False,N/A
2025-09-17 21:54:50,,,Polska,adaptive_autonomous,P_Kompania__3_Batalion_Strzelc_w,N/A,N/A,N/A,N/A,N/A,N/A,"Advanced auto mode: group 3 (strategy: TIED, aggr: 0.5)",,N/A,N/A,N/A,N/A,N/A
2025-09-17 21:54:50,,,Polska,adaptive_autonomous,P_Pluton__3_Pu_k_Piechoty_20250913214024,N/A,N/A,N/A,N/A,N/A,N/A,"Advanced auto mode: group 4 (strategy: TIED, aggr: 0.5)",,N/A,N/A,N/A,N/A,N/A
