timestamp,nation,action,econ_before,econ_after,allocated_total,units_bought,rule,metrics_json
2025-09-17T21:54:48,Polska,HOLD,19,19,0,0,econ<MIN_BUY,"{""econ"": 19, ""own_units"": 20, ""low_fuel_ratio"": 0.0, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""econ<MIN_BUY""}"
2025-09-17T21:54:50,Niemcy,COMBO,94,72,22,0,strategic_combo_ROZWÓJ,"{""econ"": 94, ""own_units"": 20, ""low_fuel_ratio"": 0.0, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 37, ""purchase_budget"": 37}"
2025-09-17T21:54:52,Polska,COMBO,131,100,31,0,strategic_combo_ROZWÓJ,"{""econ"": 131, ""own_units"": 20, ""low_fuel_ratio"": 0.05, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 52, ""purchase_budget"": 52}"
2025-09-17T21:54:55,Niemcy,COMBO,217,166,51,0,strategic_combo_ROZWÓJ,"{""econ"": 217, ""own_units"": 20, ""low_fuel_ratio"": 0.05, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 86, ""purchase_budget"": 86}"
2025-09-17T21:54:58,Polska,COMBO,168,128,40,0,strategic_combo_ROZWÓJ,"{""econ"": 168, ""own_units"": 20, ""low_fuel_ratio"": 0.2, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 67, ""purchase_budget"": 67}"
2025-09-17T21:55:02,Niemcy,COMBO,237,167,70,0,strategic_combo_KRYZYS_PALIWA,"{""econ"": 237, ""own_units"": 20, ""low_fuel_ratio"": 0.65, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.5, ""purchase"": 0.35}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_KRYZYS_PALIWA"", ""allocate_budget"": 118, ""purchase_budget"": 82}"
2025-09-17T21:55:06,Polska,COMBO,194,148,46,0,strategic_combo_ROZWÓJ,"{""econ"": 194, ""own_units"": 20, ""low_fuel_ratio"": 0.25, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_ROZWÓJ"", ""allocate_budget"": 77, ""purchase_budget"": 77}"
2025-09-17T21:55:10,Niemcy,COMBO,318,223,95,0,strategic_combo_KRYZYS_PALIWA,"{""econ"": 318, ""own_units"": 19, ""low_fuel_ratio"": 0.526, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.5, ""purchase"": 0.35}, ""game_phase"": 0.1, ""vp_status"": -10, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_KRYZYS_PALIWA"", ""allocate_budget"": 159, ""purchase_budget"": 111}"
2025-09-17T21:55:13,Polska,COMBO,271,190,81,0,strategic_combo_KRYZYS_PALIWA,"{""econ"": 271, ""own_units"": 19, ""low_fuel_ratio"": 0.368, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.5, ""purchase"": 0.35}, ""game_phase"": 0.1, ""vp_status"": -12, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_KRYZYS_PALIWA"", ""allocate_budget"": 135, ""purchase_budget"": 94}"
2025-09-17T21:55:17,Niemcy,COMBO,317,223,94,0,strategic_combo_KRYZYS_PALIWA,"{""econ"": 317, ""own_units"": 19, ""low_fuel_ratio"": 0.895, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.5, ""purchase"": 0.35}, ""game_phase"": 0.1, ""vp_status"": 12, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_KRYZYS_PALIWA"", ""allocate_budget"": 158, ""purchase_budget"": 110}"
