data_czas,tura,nacja,opoznienie_decyzji_ms,wykonane_obliczenia,uzyte_algorytmy,zuzycie_pamieci_mb,wykorzystanie_cpu_proc,glebokosc_drzewa_decyzji,ocenione_alternatywy,iteracje_optymalizacji,pewnosc_ai,zastosowana_szybkosc_uczenia,obecna_dokladnosc_modelu,wskaznik_sukcesu_przewidywan,wyzwolone_zachowanie_adaptacyjne,proby_odzyskania_po_bledzie,wskaznik_stabilnosci_systemu
2025-09-19 23:10:11,,Polska,N/A,0,turn_summary,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,85.7,False,0,1.0
2025-09-19 23:10:13,,Polska,N/A,0,turn_summary,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,66.7,False,0,1.0
2025-09-19 23:10:14,,Niemcy,N/A,0,turn_summary,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,55.6,False,0,1.0
2025-09-19 23:10:15,,Niemcy,N/A,0,turn_summary,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,100.0,False,0,1.0
2025-09-19 23:10:30,,Polska,N/A,0,turn_summary,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,42.9,False,0,1.0
2025-09-19 23:10:32,,Polska,N/A,0,turn_summary,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,0.0,False,0,1.0
2025-09-19 23:10:33,,Niemcy,N/A,0,turn_summary,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,83.3,False,0,1.0
2025-09-19 23:10:34,,Niemcy,N/A,0,turn_summary,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,40.0,False,0,1.0
2025-09-19 23:10:46,,Polska,N/A,0,turn_summary,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,28.6,False,0,1.0
2025-09-19 23:10:48,,Polska,N/A,0,turn_summary,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,10.0,False,0,1.0
2025-09-19 23:10:49,,Niemcy,N/A,0,turn_summary,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,0.0,False,0,1.0
2025-09-19 23:10:50,,Niemcy,N/A,0,turn_summary,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,0.0,False,0,1.0
